timestamp,open,high,low,close,volume
2026-01-21 15:03:00,89851.68,90006.0,89851.68,90005.99,45.81148
2026-01-21 15:04:00,90006.0,90010.0,89762.48,89762.48,31.27595
2026-01-21 15:05:00,89762.49,89950.0,89762.49,89935.65,13.42229
2026-01-21 15:06:00,89935.64,90055.55,89919.57,89940.12,41.19353
2026-01-21 15:07:00,89940.13,90195.31,89940.12,90161.1,42.73919
2026-01-21 15:08:00,90161.09,90189.75,90113.19,90187.99,29.7388
2026-01-21 15:09:00,90187.99,90210.04,90102.59,90142.64,26.55093
2026-01-21 15:10:00,90142.64,90223.73,90114.78,90142.4,28.48153
2026-01-21 15:11:00,90142.4,90210.5,90124.23,90162.02,14.38146
2026-01-21 15:12:00,90162.02,90216.21,90150.88,90216.2,13.4812
2026-01-21 15:13:00,90216.21,90218.74,90102.99,90210.0,19.5453
2026-01-21 15:14:00,90209.99,90368.0,90180.0,90344.43,36.94942
2026-01-21 15:15:00,90344.42,90427.16,90306.12,90343.99,32.61999
2026-01-21 15:16:00,90344.0,90462.43,90343.99,90375.0,37.27085
2026-01-21 15:17:00,90375.0,90489.6,90375.0,90485.57,22.98313
2026-01-21 15:18:00,90485.56,90574.0,90419.0,90500.36,44.55956
2026-01-21 15:19:00,90500.36,90550.01,90424.66,90433.97,29.06194
2026-01-21 15:20:00,90433.96,90433.97,90255.89,90271.64,23.69652
2026-01-21 15:21:00,90271.65,90296.01,90167.2,90194.61,29.58427
2026-01-21 15:22:00,90194.61,90300.0,90148.71,90297.07,12.46674
2026-01-21 15:23:00,90297.07,90330.0,90250.0,90329.99,12.22021
2026-01-21 15:24:00,90329.99,90330.18,90277.72,90280.59,18.30006
2026-01-21 15:25:00,90280.59,90323.99,90250.0,90253.56,9.43517
2026-01-21 15:26:00,90253.57,90313.87,90239.68,90307.57,7.6713
2026-01-21 15:27:00,90307.54,90307.54,90123.0,90149.85,24.88199
2026-01-21 15:28:00,90149.85,90162.69,90002.24,90062.84,18.31656
2026-01-21 15:29:00,90062.85,90083.07,89992.46,90013.52,22.25193
2026-01-21 15:30:00,90013.52,90028.57,89907.54,89987.99,11.88077
2026-01-21 15:31:00,89987.99,90083.6,89973.63,90019.59,22.34303
2026-01-21 15:32:00,90019.59,90090.43,89950.0,90090.43,15.75611
2026-01-21 15:33:00,90090.43,90148.72,90082.3,90128.81,12.87635
2026-01-21 15:34:00,90128.8,90196.4,90115.4,90174.35,9.55043
2026-01-21 15:35:00,90174.36,90186.73,90115.0,90115.14,12.08888
2026-01-21 15:36:00,90115.14,90174.0,90113.19,90132.0,7.35082
2026-01-21 15:37:00,90131.99,90180.0,90050.0,90050.0,14.461
2026-01-21 15:38:00,90050.0,90050.0,89850.0,89889.62,19.86487
2026-01-21 15:39:00,89889.62,90030.0,89889.62,90010.62,17.07438
2026-01-21 15:40:00,90010.61,90010.62,89915.3,89918.84,8.76138
2026-01-21 15:41:00,89919.31,90086.0,89919.31,90085.99,12.97266
2026-01-21 15:42:00,90086.0,90091.95,90021.62,90051.43,12.72574
2026-01-21 15:43:00,90051.43,90069.72,90000.0,90033.49,6.8453
2026-01-21 15:44:00,90033.48,90113.2,90033.48,90113.2,4.46927
2026-01-21 15:45:00,90113.19,90113.2,90069.95,90091.01,4.3711
2026-01-21 15:46:00,90091.01,90091.02,89970.75,90036.83,11.49075
2026-01-21 15:47:00,90036.82,90113.2,90022.19,90113.2,8.12324
2026-01-21 15:48:00,90113.2,90199.15,90096.0,90184.8,31.74179
2026-01-21 15:49:00,90184.8,90210.03,90150.0,90150.01,6.00138
2026-01-21 15:50:00,90150.0,90216.0,90124.4,90216.0,7.58065
2026-01-21 15:51:00,90215.99,90377.0,90213.54,90338.47,21.29373
2026-01-21 15:52:00,90338.47,90338.47,90253.16,90260.3,9.05483
2026-01-21 15:53:00,90260.29,90355.0,90230.43,90354.99,14.43192
2026-01-21 15:54:00,90354.99,90360.0,90318.37,90345.79,4.26511
2026-01-21 15:55:00,90345.79,90345.82,90308.0,90337.99,7.20653
2026-01-21 15:56:00,90337.99,90346.0,90308.0,90342.6,6.60213
2026-01-21 15:57:00,90342.61,90360.0,90281.79,90287.81,7.56083
2026-01-21 15:58:00,90287.8,90323.6,90282.73,90314.12,7.01251
2026-01-21 15:59:00,90314.12,90314.12,90256.46,90288.04,6.5033
2026-01-21 16:00:00,90288.04,90360.0,90277.69,90277.7,6.59364
2026-01-21 16:01:00,90277.7,90301.74,90263.94,90283.45,11.09582
2026-01-21 16:02:00,90283.45,90299.63,90146.19,90174.0,14.97803
2026-01-21 16:03:00,90174.0,90194.29,90067.51,90087.58,19.98035
2026-01-21 16:04:00,90087.58,90110.0,90020.0,90052.31,13.28555
2026-01-21 16:05:00,90052.3,90069.85,89902.18,89908.34,25.37027
2026-01-21 16:06:00,89908.33,89991.1,89908.33,89975.01,14.16893
2026-01-21 16:07:00,89975.01,90010.62,89903.06,89903.07,15.85507
2026-01-21 16:08:00,89903.06,89903.07,89821.61,89854.0,13.74049
2026-01-21 16:09:00,89854.0,89854.72,89789.47,89819.45,11.54194
